slug,japanese_name,english_name,file,description,reference_features
hyakki-yagyo,百鬼夜行,Hyakki Yagyo,public/assets/yokai/hyakki-yagyo.png,たくさんの妖怪が夜に歩くにぎやかな行列。,妖怪の行列・夜・絵巻風・道具や動物の妖怪。
mokumokuren,目目連,Mokumokuren,public/assets/yokai/mokumokuren.png,古い障子にたくさんの目が現れる妖怪。,障子・ふすま・たくさんの目・古い家。
nuppeppo,ぬっぺっぽう,Nuppeppo,public/assets/yokai/nuppeppo.png,丸くやわらかな不思議なかたまりの妖怪。,やわらかい体・形のあいまいさ・夜道。
shiro_uneri,白うねり,Shiro-uneri,public/assets/yokai/shiro_uneri.png,古い白い布がうねうね動く付喪神。,白い古布・うねる動き・付喪神。
fumikuruma_yohi,文車妖妃,Fumikuruma-yohi,public/assets/yokai/fumikuruma_yohi.png,古い手紙や文箱から現れる妖怪。,手紙・文箱・紙片・古い書斎。
koto_furunushi,琴古主,Koto-furunushi,public/assets/yokai/koto_furunushi.png,古い琴が妖怪になった音楽の付喪神。,琴・弦・音・古い屋敷。
kaichigo,貝児,Kaichigo,public/assets/yokai/kaichigo.png,貝の中から顔を出す海辺の小さな妖怪。,貝・浜辺・小さな姿・水辺。
abura_sumashi,油すまし,Abura-sumashi,public/assets/yokai/abura_sumashi.png,石のような顔で山道に立つ妖怪。,石の顔・油・山道・峠。
sunekosuri,すねこすり,Sunekosuri,public/assets/yokai/sunekosuri.png,夜道で足もとにすり寄る小動物のような妖怪。,足もと・小動物・夜道・ふわふわ。
sunakake_baba,砂かけ婆,Sunakake-baba,public/assets/yokai/sunakake_baba.png,道ばたで砂をさらっとかける老婆妖怪。,砂・老婆・道ばた・いたずら。
konaki_jiji,子泣き爺,Konaki-jiji,public/assets/yokai/konaki_jiji.png,山道で泣き声を聞かせる小さなお爺さん妖怪。,山道・泣き声・小さなお爺さん。
betobeto_san,べとべとさん,Betobeto-san,public/assets/yokai/betobeto_san.png,後ろからついてくる足音の気配妖怪。,足音・足あと・夜道・気配。
okuri_inu,送り犬,Okuri-inu,public/assets/yokai/okuri_inu.png,夜の山道で人についてくる犬の妖怪。,犬・山道・夜道・影。
enenra,煙々羅,Enenra,public/assets/yokai/enenra.png,煙の中にふわっと姿を見せる妖怪。,煙・ゆらぎ・囲炉裏・半透明。
ame_onna,雨女,Ame-onna,public/assets/yokai/ame_onna.png,雨の日にしずかに現れる女性の妖怪。,雨・雲・傘・天気。
kamikiri,髪切り,Kamikiri,public/assets/yokai/kamikiri.png,はさみの気配で表した髪にまつわる妖怪。,髪・はさみ・夜の部屋・影。
ittan_momen,一反木綿,Ittan-momen,public/assets/yokai/ittan_momen.png,夜空をひらひら飛ぶ白い布の妖怪。,白い布・空・風・付喪神。
ubume,うぶめ / 産女,Ubume,public/assets/yokai/ubume.png,雨の川辺に立つ霧の中の女性の怪異。,霧・雨・川辺・白い着物。
ushi_oni,牛鬼,Ushi-oni,public/assets/yokai/ushi_oni.png,牛のような頭と大きな体を持つ怪物妖怪。,牛の頭・角・大きな体・海辺。
hyosube,ひょうすべ,Hyosube,public/assets/yokai/hyosube.png,河童に近いとされる水辺の小さな妖怪。,水辺・川・小さな体・河童に近い姿。
daidarabotchi,だいだらぼっち,Daidarabotchi,public/assets/yokai/daidarabotchi.png,山や湖より大きく見えるやさしい巨人。,巨大・山・湖・大きな足あと。
